EM_eeg 45 male 2021_Jan_14_1720
mov? seen? confidence?
movies_1/033p.mp4 ['1'] ['1']
movies_1/065p.mp4 ['1'] ['1']
movies_1/096p.mp4 ['1'] ['1']
movies_1/035p.mp4 ['1'] ['1']
movies_1/091p.mp4 ['1'] ['1']
movies_1/007p.mp4 ['1'] ['1']
movies_1/022p.mp4 ['1'] ['1']
movies_1/086p.mp4 ['1'] ['1']
movies_1/012p.mp4 ['1'] ['1']
movies_1/094p.mp4 ['1'] ['1']
movies_1/038p.mp4 ['1'] ['1']
movies_1/046p.mp4 ['1'] ['1']
movies_1/013p.mp4 ['1'] ['1']
movies_1/029p.mp4 ['1'] ['1']
movies_1/006p.mp4 ['1'] ['1']
movies_1/037p.mp4 ['1'] ['1']
movies_1/031p.mp4 ['1'] ['1']
